target_id	length	eff_length	est_counts	tpm
lpl2_a_DN3710_c0_g1_i4	588	409.385	0	0
lpl2_a_DN3710_c0_g3_i1	506	329.368	0	0
lpl2_a_DN3775_c0_g1_i1	902	721.341	1	1.31696
lpl2_a_DN3775_c0_g2_i1	618	439.076	0	0
lpl2_a_DN3775_c0_g2_i2	1586	1405.27	4	2.70405
lpl2_a_DN3759_c0_g1_i1	2864	2683.27	1	0.354038
lpl2_a_DN3752_c0_g1_i1	679	498.932	0	0
lpl2_a_DN3767_c0_g1_i1	1973	1792.27	6	3.18026
lpl2_a_DN3763_c0_g1_i1	1168	987.271	0	0
lpl2_a_DN3787_c0_g1_i1	1500	1319.27	1	0.72008
lpl2_a_DN3793_c0_g1_i1	1162	981.271	0	0
lpl2_a_DN3799_c0_g1_i2	659	479.157	2	3.96522
lpl2_a_DN3798_c0_g2_i2	2677	2496.27	4	1.52224
lpl2_a_DN3780_c0_g1_i1	533	355.432	0	0
lpl2_a_DN3780_c0_g2_i1	719	538.508	1	1.7641
lpl2_a_DN3796_c0_g1_i1	970	789.271	1	1.20362
lpl2_a_DN3736_c0_g1_i1	519	341.721	0	0
lpl2_a_DN3772_c0_g1_i1	1250	1069.27	1	0.888437
lpl2_a_DN3781_c0_g1_i1	1387	1206.27	3	2.3626
lpl2_a_DN3797_c1_g1_i1	981	800.271	0	0
lpl2_a_DN3779_c0_g1_i1	537	359.267	3	7.93265
lpl2_a_DN3747_c1_g1_i1	755	574.406	3	4.96155
lpl2_a_DN3741_c1_g1_i1	857	676.406	1	1.40445
lpl2_a_DN3782_c0_g1_i1	1141	960.271	0	0
lpl2_a_DN3776_c0_g1_i1	1081	900.271	0	0
lpl2_a_DN3771_c0_g2_i1	985	804.271	0	0
lpl2_a_DN3742_c0_g1_i3	3914	3733.27	2	0.508927
lpl2_a_DN3791_c0_g1_i1	606	427.195	0	0
lpl2_a_DN3762_c0_g1_i1	1170	989.271	3	2.88085
lpl2_a_DN3762_c0_g2_i1	573	394.606	0	0
lpl2_a_DN5_c0_g1_i2	14055	13874.3	688.705	47.1561
lpl2_a_DN89_c0_g1_i3	1909	1728.27	15	8.24507
lpl2_a_DN89_c0_g2_i1	1124	943.271	9	9.06402
lpl2_a_DN37_c0_g1_i1	7387	7206.27	107.802	14.2111
lpl2_a_DN75_c0_g1_i3	1818	1637.27	7.12017	4.13128
lpl2_a_DN75_c0_g2_i1	1471	1290.27	0	0
lpl2_a_DN96_c0_g1_i10	6907	6726.27	26.0708	3.68209
lpl2_a_DN96_c0_g1_i3	6952	6771.27	17.9292	2.51539
lpl2_a_DN96_c0_g2_i1	6437	6256.27	10	1.51845
lpl2_a_DN96_c0_g3_i1	947	766.271	1	1.23974
lpl2_a_DN8_c0_g1_i1	1662	1481.27	24	15.3919
lpl2_a_DN85_c0_g2_i1	2778	2597.27	11.4325	4.18157
lpl2_a_DN93_c0_g1_i2	3590	3409.27	34	9.47397
lpl2_a_DN93_c0_g2_i1	789	608.406	7	10.93
lpl2_a_DN10_c0_g1_i6	2288	2107.27	564	254.257
lpl2_a_DN52_c0_g1_i1	745	564.457	0	0
lpl2_a_DN52_c0_g2_i1	635	455.585	15	31.2778
lpl2_a_DN22_c0_g1_i32	703	522.652	24.3634	44.2833
lpl2_a_DN86_c0_g1_i1	15392	15211.3	65	4.05941
lpl2_a_DN47_c0_g1_i3	1024	843.271	11	12.392
lpl2_a_DN55_c0_g1_i1	1469	1288.27	4.23661	3.12411
lpl2_a_DN55_c0_g2_i2	2679	2498.27	10	3.80255
lpl2_a_DN38_c0_g1_i2	2502	2321.27	14.8355	6.07143
lpl2_a_DN38_c0_g1_i4	2569	2388.27	6.16449	2.45205
lpl2_a_DN51_c0_g1_i9	3183	3002.27	11	3.48063
lpl2_a_DN68_c0_g1_i1	1272	1091.27	0.828094	0.720877
lpl2_a_DN68_c0_g2_i1	559	380.961	15	37.4047
lpl2_a_DN44_c0_g1_i7	3132	2951.27	61905.4	19926.6
lpl2_a_DN18_c0_g1_i8	6303	6122.27	106.988	16.601
lpl2_a_DN46_c0_g1_i1	945	764.271	5	6.21494
lpl2_a_DN46_c0_g4_i1	2470	2289.27	6	2.48982
lpl2_a_DN2_c0_g1_i2	2818	2637.27	32	11.5268
lpl2_a_DN94_c0_g2_i1	2961	2780.27	3	1.02506
lpl2_a_DN94_c0_g3_i1	850	669.406	2	2.83828
lpl2_a_DN36_c0_g1_i1	2156	1975.27	27	12.9853
lpl2_a_DN36_c0_g2_i1	3414	3233.27	17	4.99484
lpl2_a_DN26_c0_g1_i1	2852	2671.27	19	6.75694
lpl2_a_DN26_c0_g2_i1	2924	2743.27	6	2.07777
lpl2_a_DN14_c0_g1_i28	1661	1480.27	8442.07	5417.79
lpl2_a_DN14_c2_g1_i1	1535	1354.27	12.0631	8.46192
lpl2_a_DN7_c0_g1_i3	1170	989.271	101.235	97.2139
lpl2_a_DN87_c0_g1_i2	2020	1839.27	15.7704	8.14541
lpl2_a_DN87_c0_g1_i3	3115	2934.27	15	4.8563
lpl2_a_DN87_c0_g2_i1	637	457.543	2	4.15253
lpl2_a_DN87_c1_g1_i1	1200	1019.27	0	0
lpl2_a_DN87_c1_g2_i1	605	426.195	1	2.22898
lpl2_a_DN97_c0_g1_i4	11321	11140.3	34.5701	2.94795
lpl2_a_DN97_c0_g1_i5	3637	3456.27	23.4299	6.43988
lpl2_a_DN84_c0_g1_i1	744	563.457	4.63036	7.80671
lpl2_a_DN12_c0_g1_i2	585	406.46	1029.36	2405.84
lpl2_a_DN28_c0_g1_i4	5108	4927.27	100.067	19.2929
lpl2_a_DN28_c1_g1_i1	12541	12360.3	133.832	10.286
lpl2_a_DN57_c0_g1_i1	579	400.534	15	35.5768
lpl2_a_DN34_c0_g1_i1	2565	2384.27	19	7.57029
lpl2_a_DN34_c0_g2_i1	1086	905.271	7.89472	8.28462
lpl2_a_DN66_c0_g1_i1	1380	1199.27	1	0.792132
lpl2_a_DN66_c0_g2_i1	1142	961.271	24	23.7181
lpl2_a_DN95_c0_g1_i4	6191	6010.27	31.2201	4.93464
lpl2_a_DN95_c0_g2_i1	4030	3849.27	12.7799	3.154
lpl2_a_DN92_c0_g1_i2	1124	943.271	4	4.02845
lpl2_a_DN92_c0_g1_i3	882	701.406	0	0
lpl2_a_DN92_c1_g1_i1	2627	2446.27	5	1.94169
lpl2_a_DN92_c1_g1_i3	1089	908.271	0	0
lpl2_a_DN92_c1_g1_i4	811	630.406	1	1.50694
lpl2_a_DN92_c1_g2_i1	968	787.271	0	0
lpl2_a_DN70_c0_g1_i2	777	596.406	3.44708	5.49065
lpl2_a_DN70_c0_g1_i8	767	586.406	33.9309	54.9682
lpl2_a_DN27_c0_g1_i11	4502	4321.27	27.0594	5.94868
lpl2_a_DN27_c0_g1_i3	3636	3455.27	27.1563	7.46625
lpl2_a_DN27_c1_g1_i1	1126	945.271	0	0
lpl2_a_DN39_c0_g1_i6	3649	3468.27	41	11.2301
lpl2_a_DN74_c0_g1_i1	1099	918.271	4	4.13813
lpl2_a_DN74_c0_g2_i1	1698	1517.27	5	3.13056
lpl2_a_DN42_c0_g1_i12	4028	3847.27	10.4523	2.58093
lpl2_a_DN42_c1_g1_i7	8141	7960.27	53	6.32503
lpl2_a_DN91_c1_g1_i1	696	515.7	25	46.053
lpl2_a_DN4_c0_g1_i1	3444	3263.27	152	44.2492
lpl2_a_DN54_c0_g1_i2	1644	1463.27	9	5.84295
lpl2_a_DN54_c0_g1_i3	1663	1482.27	5	3.20448
lpl2_a_DN31_c0_g1_i14	1042	861.271	66.8077	73.6888
lpl2_a_DN31_c0_g1_i15	780	599.406	494.705	784.043
lpl2_a_DN64_c0_g1_i3	2674	2493.27	19	7.23934
lpl2_a_DN48_c0_g1_i2	1280	1099.27	7	6.04934
lpl2_a_DN48_c0_g1_i4	844	663.406	16	22.9116
lpl2_a_DN24_c0_g1_i2	1458	1277.27	31.0899	23.1233
lpl2_a_DN24_c1_g1_i1	522	344.689	0	0
lpl2_a_DN65_c0_g1_i1	4401	4220.27	26.5452	5.97531
lpl2_a_DN65_c0_g2_i2	5288	5107.27	9.45478	1.75864
lpl2_a_DN49_c0_g2_i1	2748	2567.27	8	2.96028
lpl2_a_DN49_c0_g3_i2	2464	2283.27	15	6.24092
lpl2_a_DN72_c0_g1_i1	503	326.368	6	17.4646
lpl2_a_DN67_c0_g1_i1	1283	1102.27	32	27.5789
lpl2_a_DN60_c0_g1_i1	1605	1424.27	9	6.00295
lpl2_a_DN60_c0_g2_i1	2298	2117.27	9	4.03813
lpl2_a_DN53_c0_g1_i2	648	468.373	3	6.08477
lpl2_a_DN69_c0_g1_i3	4357	4176.27	35	7.96148
lpl2_a_DN29_c0_g1_i3	4006	3825.27	19	4.71852
lpl2_a_DN29_c1_g1_i1	2217	2036.27	4	1.86612
lpl2_a_DN29_c1_g2_i1	2705	2524.27	7	2.63437
lpl2_a_DN56_c0_g1_i6	6402	6221.27	27.3479	4.17599
lpl2_a_DN9_c0_g1_i1	819	638.406	878.695	1307.54
lpl2_a_DN9_c0_g1_i2	1141	960.271	5.96691	5.90297
lpl2_a_DN82_c0_g1_i3	7395	7214.27	29	3.81874
lpl2_a_DN82_c1_g1_i1	2229	2048.27	9	4.17417
lpl2_a_DN82_c1_g2_i1	1122	941.271	6	6.05552
lpl2_a_DN6_c0_g1_i3	4846	4665.27	123.256	25.0985
lpl2_a_DN6_c0_g1_i6	4904	4723.27	92.7435	18.6533
lpl2_a_DN83_c0_g1_i5	2255	2074.27	16	7.32773
lpl2_a_DN83_c0_g1_i6	2084	1903.27	0	0
lpl2_a_DN99_c0_g2_i2	8398	8217.27	41	4.73992
lpl2_a_DN98_c0_g1_i2	1435	1254.27	12	9.08876
lpl2_a_DN98_c0_g1_i4	1535	1354.27	8	5.61176
lpl2_a_DN0_c0_g1_i1	2661	2480.27	62	23.7469
lpl2_a_DN0_c0_g1_i4	2716	2535.27	0	0
lpl2_a_DN19_c0_g1_i2	2848	2667.27	7	2.49313
lpl2_a_DN13_c0_g1_i14	7766	7585.27	49.4616	6.19458
lpl2_a_DN13_c0_g1_i19	3737	3556.27	334.532	89.3628
lpl2_a_DN13_c0_g1_i24	4572	4391.27	8922.18	1930.17
lpl2_a_DN3_c0_g1_i6	3153	2972.27	73	23.3318
lpl2_a_DN15_c0_g1_i12	636	456.543	0	0
lpl2_a_DN15_c0_g1_i3	601	422.195	0	0
lpl2_a_DN15_c0_g1_i5	521	343.689	146.882	405.992
lpl2_a_DN43_c0_g1_i1	1081	900.271	1.31308	1.38558
lpl2_a_DN90_c0_g1_i2	2048	1867.27	7	3.56127
lpl2_a_DN90_c0_g2_i1	525	347.594	0	0
lpl2_a_DN17_c0_g1_i1	640	460.543	25	51.5685
lpl2_a_DN63_c0_g1_i10	4763	4582.27	30	6.2195
lpl2_a_DN63_c0_g1_i13	669	489.068	5	9.71215
lpl2_a_DN23002_c0_g1_i1	802	621.406	0	0
lpl2_a_DN23029_c0_g1_i1	1107	926.271	5	5.12798
lpl2_a_DN23088_c0_g1_i1	554	376.03	0	0
lpl2_a_DN23063_c0_g1_i1	746	565.457	0	0
lpl2_a_DN23001_c0_g1_i1	544	366.167	1	2.59439
lpl2_a_DN23087_c0_g1_i1	634	454.627	0	0
lpl2_a_DN23083_c0_g1_i1	563	384.82	0	0
lpl2_a_DN23032_c0_g1_i1	1249	1068.27	0	0
lpl2_a_DN23017_c0_g1_i1	675	494.978	3	5.75772
lpl2_a_DN23067_c0_g1_i1	818	637.406	0	0
lpl2_a_DN23040_c0_g1_i1	728	547.508	29.8151	51.7322
lpl2_a_DN23049_c0_g1_i1	1375	1194.27	2	1.5909
lpl2_a_DN23094_c0_g1_i1	536	358.267	0	0
lpl2_a_DN23008_c0_g1_i1	1178	997.271	2	1.90516
lpl2_a_DN23091_c0_g1_i1	913	732.341	0	0
lpl2_a_DN23072_c0_g1_i1	861	680.406	1	1.3962
lpl2_a_DN23075_c0_g1_i1	1827	1646.27	7	4.03935
lpl2_a_DN23082_c0_g1_i1	1626	1445.27	3	1.97191
lpl2_a_DN4674_c0_g2_i1	921	740.341	2	2.56633
lpl2_a_DN4673_c0_g2_i1	549	371.099	2	5.11982
lpl2_a_DN4660_c0_g1_i1	557	378.961	0	0
lpl2_a_DN4646_c0_g1_i1	1258	1077.27	5	4.4092
lpl2_a_DN1459_c0_g1_i1	774	593.406	1	1.6009
lpl2_a_DN1412_c0_g2_i1	1771	1590.27	3	1.79211
lpl2_a_DN1412_c0_g3_i1	619	440.076	0	0
lpl2_a_DN1454_c0_g1_i2	1204	1023.27	0	0
lpl2_a_DN1456_c0_g2_i1	1115	934.271	2	2.03363
lpl2_a_DN1416_c0_g1_i1	664	484.113	0	0
lpl2_a_DN1489_c0_g2_i1	869	688.406	2	2.75994
lpl2_a_DN1481_c0_g1_i1	616	437.076	0	0
lpl2_a_DN1430_c1_g1_i1	891	710.341	0	0
lpl2_a_DN1453_c0_g1_i1	616	437.076	0	0
lpl2_a_DN1453_c0_g2_i3	1434	1253.27	0	0
lpl2_a_DN1453_c0_g3_i2	990	809.271	0	0
lpl2_a_DN1407_c0_g1_i1	1188	1007.27	0	0
lpl2_a_DN1407_c0_g2_i1	733	552.457	0	0
lpl2_a_DN1433_c0_g1_i1	564	385.785	0	0
lpl2_a_DN1433_c0_g2_i1	789	608.406	0	0
lpl2_a_DN1433_c0_g3_i1	658	478.157	0	0
lpl2_a_DN1462_c0_g1_i1	873	692.406	3	4.116
lpl2_a_DN1462_c0_g2_i1	510	333.033	9	25.6726
lpl2_a_DN1446_c0_g1_i1	517	339.846	0	0
lpl2_a_DN1418_c0_g1_i2	1375	1194.27	0	0
lpl2_a_DN1413_c0_g1_i2	645	465.459	0	0
lpl2_a_DN1413_c0_g1_i4	1384	1203.27	0	0
lpl2_a_DN1408_c0_g2_i1	638	458.543	1	2.07174
lpl2_a_DN1482_c0_g1_i1	677	496.978	0	0
lpl2_a_DN1444_c0_g1_i1	1096	915.271	1	1.03792
lpl2_a_DN1490_c0_g1_i1	1534	1353.27	0	0
lpl2_a_DN1448_c0_g1_i1	1784	1603.27	0.0216445	0.0128249
lpl2_a_DN1420_c0_g1_i1	576	397.534	0	0
lpl2_a_DN1421_c0_g1_i2	1173	992.271	2	1.91476
lpl2_a_DN1499_c0_g1_i2	1687	1506.27	3	1.89205
lpl2_a_DN1404_c0_g1_i1	1205	1024.27	1	0.92747
lpl2_a_DN1404_c0_g2_i1	1297	1116.27	1	0.85103
lpl2_a_DN1428_c0_g2_i1	3815	3634.27	2	0.52279
lpl2_a_DN1428_c0_g3_i1	4489	4308.27	5	1.10251
lpl2_a_DN1469_c0_g1_i3	786	605.406	2	3.13833
lpl2_a_DN1440_c2_g1_i1	805	624.406	0	0
lpl2_a_DN1440_c2_g2_i1	1561	1380.27	8	5.50605
lpl2_a_DN1455_c0_g1_i2	1041	860.271	0	0
lpl2_a_DN1464_c0_g1_i1	843	662.406	1	1.43414
lpl2_a_DN1464_c0_g1_i2	1278	1097.27	0	0
lpl2_a_DN1450_c0_g1_i1	718	537.508	0	0
lpl2_a_DN1494_c0_g1_i1	1424	1243.27	1.51824	1.16008
lpl2_a_DN1494_c0_g2_i1	1486	1305.27	1.48176	1.07843
lpl2_a_DN1437_c0_g1_i1	592	413.272	1	2.29868
lpl2_a_DN1461_c0_g1_i1	959	778.271	1	1.22063
lpl2_a_DN1493_c0_g1_i1	1663	1482.27	2	1.28179
lpl2_a_DN1493_c0_g2_i1	3165	2984.27	3	0.954987
lpl2_a_DN1475_c0_g1_i1	838	657.406	2	2.89009
lpl2_a_DN1449_c0_g1_i1	1784	1603.27	1	0.592526
lpl2_a_DN1449_c0_g2_i1	1047	866.271	0	0
lpl2_a_DN1487_c0_g1_i1	618	439.076	1	2.16359
lpl2_a_DN1487_c0_g2_i2	540	362.267	4	10.4893
lpl2_a_DN1480_c0_g1_i1	521	343.689	2	5.52814
lpl2_a_DN1423_c0_g1_i3	1170	989.271	2	1.92057
lpl2_a_DN1431_c0_g1_i1	1222	1041.27	4	3.64931
lpl2_a_DN1463_c0_g1_i1	687	506.84	2	3.74864
lpl2_a_DN1463_c0_g2_i1	1248	1067.27	6	5.34061
lpl2_a_DN1435_c0_g2_i2	3259	3078.27	10	3.08608
lpl2_a_DN1498_c0_g1_i1	1010	829.271	3	3.43668
lpl2_a_DN1498_c0_g2_i1	1383	1202.27	1	0.790155
lpl2_a_DN1497_c0_g1_i1	603	424.195	0	0
lpl2_a_DN1497_c0_g2_i1	731	550.457	1	1.7258
lpl2_a_DN1468_c0_g1_i2	720	539.508	0	0
lpl2_a_DN1401_c0_g1_i2	1108	927.271	1	1.02449
lpl2_a_DN1401_c0_g2_i1	800	619.406	0	0
lpl2_a_DN1401_c0_g3_i1	732	551.457	5	8.61336
lpl2_a_DN1485_c0_g1_i1	1066	885.271	2	2.14619
lpl2_a_DN1445_c0_g1_i1	564	385.785	1	2.46246
lpl2_a_DN1445_c0_g2_i1	684	503.886	0	0
lpl2_a_DN1491_c0_g1_i1	618	439.076	0	0
lpl2_a_DN1439_c0_g1_i1	1825	1644.27	2.49161	1.43953
lpl2_a_DN1439_c0_g2_i1	690	509.793	0	0
lpl2_a_DN1439_c0_g3_i1	1036	855.271	6	6.66442
lpl2_a_DN1483_c0_g1_i1	2002	1821.27	3	1.56481
lpl2_a_DN1483_c0_g3_i1	2085	1904.27	0	0
lpl2_a_DN1474_c0_g1_i2	978	797.271	1	1.19154
lpl2_a_DN1474_c0_g1_i3	758	577.406	2	3.29051
lpl2_a_DN1474_c0_g2_i3	862	681.406	0	0
lpl2_a_DN1417_c0_g1_i1	1125	944.271	3	3.01814
lpl2_a_DN1417_c0_g2_i1	2720	2539.27	5	1.87058
lpl2_a_DN1417_c1_g3_i1	697	516.7	0	0
lpl2_a_DN3299_c0_g1_i1	736	555.457	3	5.1308
lpl2_a_DN3299_c1_g1_i1	641	461.543	0	0
lpl2_a_DN3249_c0_g1_i1	684	503.886	0	0
lpl2_a_DN3249_c0_g1_i2	535	357.333	0	0
lpl2_a_DN3253_c0_g1_i1	1382	1201.27	2	1.58163
lpl2_a_DN3220_c0_g1_i1	668	488.113	2	3.89246
lpl2_a_DN3294_c0_g1_i1	1133	952.271	2	1.99519
lpl2_a_DN3238_c0_g1_i1	1423	1242.27	3	2.29414
lpl2_a_DN3247_c0_g1_i1	806	625.406	7	10.6329
lpl2_a_DN3247_c0_g2_i1	664	484.113	2	3.92463
lpl2_a_DN3221_c0_g1_i1	1655	1474.27	4	2.57749
lpl2_a_DN3213_c0_g1_i1	1028	847.271	1	1.12122
lpl2_a_DN3234_c0_g1_i1	1071	890.271	0	0
lpl2_a_DN3218_c0_g1_i1	786	605.406	1	1.56916
lpl2_a_DN3282_c0_g1_i2	944	763.341	2	2.48901
lpl2_a_DN3255_c0_g1_i1	1722	1541.27	0	0
lpl2_a_DN3297_c0_g1_i1	573	394.606	0	0
lpl2_a_DN3297_c0_g2_i1	583	404.46	0	0
lpl2_a_DN3259_c0_g1_i1	542	364.267	0	0
lpl2_a_DN3279_c0_g1_i1	535	357.333	0	0
lpl2_a_DN3279_c0_g2_i1	572	393.606	3	7.24059
lpl2_a_DN3233_c0_g1_i1	527	349.562	5.66097	15.3844
lpl2_a_DN3209_c0_g1_i1	666	486.113	1	1.95424
lpl2_a_DN3285_c0_g1_i1	662	482.113	1	1.97045
lpl2_a_DN3211_c0_g1_i1	1163	982.271	0	0
