Transcript	Tax_Annotation	Max_Annotation	Description	PFAM	KO_All	KO_sig	Pathway_all	Pathway_sig	GO_BP	GO_sig	Figure_term	
hpl4_a_DN223_c0_g1_i6	2DX7X@1|root,32V2Y@2|Bacteria,1VB4V@1239|Firmicutes,4HKWS@91061|Bacilli	91061|Bacilli	COG NOG38524 non supervised orthologous group	-	-		-		-			
hpl4_a_DN5_c0_g1_i12	2AU0F@1|root,31JKB@2|Bacteria,4NHS6@976|Bacteroidetes,1I02M@117743|Flavobacteriia	976|Bacteroidetes	COG NOG14600 non supervised orthologous group	-	-		-		-			
hpl4_b_DN10_c0_g1_i9	2BG5J@1|root,2S18N@2759|Eukaryota,3A435@33154|Opisthokonta,3P2QE@4751|Fungi,3QVBD@4890|Ascomycota,20Q4X@147545|Eurotiomycetes,3SASG@5042|Eurotiales	4751|Fungi	-	-	-		-		-			
hpl4_b_DN131_c0_g1_i1	2DTV2@1|root,33MS7@2|Bacteria	2|Bacteria	-	-	-		-		-			
hpl4_b_DN148_c0_g2_i1	2DTV2@1|root,33MS7@2|Bacteria,1NKAB@1224|Proteobacteria	2|Bacteria	-	-	-		-		-			
hpl4_b_DN378_c0_g1_i3	2DPDN@1|root,331NP@2|Bacteria,1VFF8@1239|Firmicutes,24S9D@186801|Clostridia	186801|Clostridia	ORF located using Blastx	-	-		-		-			
hpl4_c_DN13_c1_g1_i8	2DPM9@1|root,332MQ@2|Bacteria,1NAPW@1224|Proteobacteria,2UWJH@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl4_c_DN18_c0_g2_i2	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria	1224|Proteobacteria	-	-	-		-		-			
hpl4_c_DN82_c0_g1_i8	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl4_c_DN8_c0_g1_i21	2DMNG@1|root,32SP1@2|Bacteria,1NAN7@1224|Proteobacteria,2UD5X@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
hpl7_a_DN0_c0_g1_i10	2DPM9@1|root,332MQ@2|Bacteria,1VGFB@1239|Firmicutes	1239|Firmicutes	-	-	-		-		-			
hpl7_a_DN0_c0_g1_i19	2DMNG@1|root,32SP1@2|Bacteria,1VAXC@1239|Firmicutes,24P9Q@186801|Clostridia	186801|Clostridia	COG NOG14552 non supervised orthologous group	-	-		-		-			
hpl7_a_DN122_c0_g1_i8	2DMHR@1|root,32RMI@2|Bacteria	2|Bacteria	-	-	-		-		-			
hpl7_a_DN1408_c0_g2_i3	2EM9F@1|root,2SQZI@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl7_a_DN525_c0_g1_i1	2DF3V@1|root,2S5RJ@2759|Eukaryota	2759|Eukaryota	-	-	-		-		-			
hpl7_a_DN7_c0_g1_i11	2CYEG@1|root,2S3VE@2759|Eukaryota,39JDY@33154|Opisthokonta,3Q3QK@4751|Fungi,3QXDC@4890|Ascomycota,3RX3X@4891|Saccharomycetes,47E5I@766764|Debaryomycetaceae	4751|Fungi	-	-	-		-		-			
hpl7_b_DN18_c0_g1_i12	arCOG05874@1|root,2ZJ01@2|Bacteria,1V450@1239|Firmicutes,4HFPA@91061|Bacilli,4C6TS@84406|Virgibacillus	91061|Bacilli	-	-	-		-		-			
hpl7_b_DN20_c0_g1_i8	2DMHR@1|root,32RMI@2|Bacteria	2|Bacteria	-	-	-		-		-			
hpl7_b_DN2147_c2_g1_i1	2DZEY@1|root,2S6ZB@2759|Eukaryota,3A8VS@33154|Opisthokonta	33154|Opisthokonta	-	-	-		-		-			
hpl7_b_DN4385_c0_g2_i3	2DNPH@1|root,32YF1@2|Bacteria,1NARM@1224|Proteobacteria,2UJNP@28211|Alphaproteobacteria	28211|Alphaproteobacteria	-	-	-		-		-			
